PERMNO,date,TICKER,COMNAM,PRC,VOL,RET,SHROUT
10104,2023-01-03,ORCL,ORACLE CORP,83.72000,8997534,0.024223,2696253
10104,2023-01-04,ORCL,ORACLE CORP,84.48000,7836238,0.009078,2696253
10104,2023-01-05,ORCL,ORACLE CORP,84.31000,7643784,-0.002012,2696253
10104,2023-01-06,ORCL,ORACLE CORP,85.66000,8641597,0.016012,2696253
10104,2023-01-09,ORCL,ORACLE CORP,86.42000,7519836,0.012608,2696253
10104,2023-01-10,ORCL,ORACLE CORP,86.50000,5703270,0.000926,2696253
10104,2023-01-11,ORCL,ORACLE CORP,88.60000,8359667,0.024277,2696253
10104,2023-01-12,ORCL,ORACLE CORP,88.78000,6071099,0.002032,2696253
10104,2023-01-13,ORCL,ORACLE CORP,89.20000,5090938,0.004731,2696253
10104,2023-01-17,ORCL,ORACLE CORP,88.60000,6550412,-0.006726,2696253
10104,2023-01-18,ORCL,ORACLE CORP,86.71000,6397707,-0.021332,2696253
10104,2023-01-19,ORCL,ORACLE CORP,85.94000,5597039,-0.008880,2696253
10104,2023-01-20,ORCL,ORACLE CORP,87.25000,5567493,0.015243,2696253
10104,2023-01-23,ORCL,ORACLE CORP,88.97000,7390256,0.019713,2696253
10104,2023-01-24,ORCL,ORACLE CORP,89.70000,7004581,0.008205,2696253
10104,2023-01-25,ORCL,ORACLE CORP,89.64000,5896812,-0.000669,2696253
10104,2023-01-26,ORCL,ORACLE CORP,89.83000,7302869,0.002120,2696253
10104,2023-01-27,ORCL,ORACLE CORP,88.99000,5676836,-0.009351,2696253
10104,2023-01-30,ORCL,ORACLE CORP,87.35000,6255306,-0.018429,2696253
10104,2023-01-31,ORCL,ORACLE CORP,88.46000,6200413,0.012708,2696253
10104,2023-02-01,ORCL,ORACLE CORP,90.05000,6141252,0.017974,2696253
10104,2023-02-02,ORCL,ORACLE CORP,89.38000,8269151,-0.007440,2696253
10104,2023-02-03,ORCL,ORACLE CORP,89.62000,5671823,0.002685,2696253
10104,2023-02-06,ORCL,ORACLE CORP,88.53000,4097311,-0.012163,2696253
10104,2023-02-07,ORCL,ORACLE CORP,87.74000,9226071,-0.008924,2696253
10104,2023-02-08,ORCL,ORACLE CORP,86.69000,7624398,-0.011967,2696253
10104,2023-02-09,ORCL,ORACLE CORP,86.65000,4960391,-0.000461,2696253
10104,2023-02-10,ORCL,ORACLE CORP,87.14000,5318403,0.005655,2696253
10104,2023-02-13,ORCL,ORACLE CORP,89.42000,5560902,0.026165,2696253
10104,2023-02-14,ORCL,ORACLE CORP,89.09000,7484776,-0.003690,2696253
10104,2023-02-15,ORCL,ORACLE CORP,88.34000,4330547,-0.008418,2696253
10104,2023-02-16,ORCL,ORACLE CORP,87.72000,5942533,-0.007018,2696253
10104,2023-02-17,ORCL,ORACLE CORP,87.28000,6398487,-0.005016,2696253
10104,2023-02-21,ORCL,ORACLE CORP,86.20000,5260328,-0.012374,2696253
10104,2023-02-22,ORCL,ORACLE CORP,86.32000,5840102,0.001392,2696253
10104,2023-02-23,ORCL,ORACLE CORP,88.58000,8637135,0.026182,2696253
10104,2023-02-24,ORCL,ORACLE CORP,88.66000,7659188,0.000903,2696253
10104,2023-02-27,ORCL,ORACLE CORP,87.96000,6748861,-0.007895,2696253
10104,2023-02-28,ORCL,ORACLE CORP,87.40000,7468234,-0.006367,2696253
10104,2023-03-01,ORCL,ORACLE CORP,86.34000,5119757,-0.012128,2696253
