PERMNO,date,TICKER,COMNAM,PRC,VOL,RET,SHROUT,news_count,avg_ess,tangibility,relevance,llm_sentiment,llm_headline_count,composite
85653,2023-01-03,AAIC,ARLINGTON ASSET INVESTMENT CORP,2.95,35561.0,0.006826,28367.0,0,0.0,,,,,
14593,2023-01-03,AAPL,APPLE INC,125.07,111953221.0,-0.037405,15842407.0,19,-0.2447368421052631,0.075,0.125,-0.225,4.0,-0.00833333333333334
75510,2023-01-03,ADBE,ADOBE INC,336.92001,2209814.0,0.001159,462000.0,0,0.0,,,,,
20193,2023-01-03,AI,C3 AI INC,11.07,1497538.0,-0.010724,106751.0,0,0.0,,,,,
61241,2023-01-03,AMD,ADVANCED MICRO DEVICES INC,64.02,46810596.0,-0.011579,1612000.0,0,0.0,,,,,
84788,2023-01-03,AMZN,AMAZON COM INC,85.82,76643433.0,0.021667,10242000.0,0,0.0,,,,,
81472,2023-01-03,ASML,A S M L HOLDING N V,549.57001,661241.0,0.005802,87861.0,0,0.0,,,,,
93002,2023-01-03,AVGO,BROADCOM INC,553.47998,2002000.0,-0.010105,417886.0,0,0.0,,,,,
22623,2023-01-03,CEG,CONSTELLATION ENERGY CORP,81.91,3958078.0,-0.049878,327000.0,0,0.0,,,,,
90215,2023-01-03,CRM,SALESFORCE INC,134.78,8196354.0,0.016517,1000000.0,0,0.0,,,,,
18726,2023-01-03,CRWD,CROWDSTRIKE HOLDINGS INC,103.28,3428573.0,-0.01909,218282.0,0,0.0,,,,,
18911,2023-01-03,DDOG,DATADOG INC,72.09,3512361.0,-0.019184,293574.0,0,0.0,,,,,
90373,2023-01-03,DLR,DIGITAL REALTY TRUST INC,102.83,2410052.0,0.025531,287522.0,1,0.53,0.0,0.8,0.0,1.0,0.26666666666666666
89617,2023-01-03,EQIX,EQUINIX INC,662.51001,367871.0,0.011419,92621.0,0,0.0,,,,,
90319,2023-01-03,GOOGL,ALPHABET INC,89.12,28089144.0,0.010087,5956000.0,87,0.3666666666666667,0.3,0.3999999999999999,0.1999999999999999,3.0,0.29999999999999993
12490,2023-01-03,IBM,INTERNATIONAL BUSINESS MACHS COR,141.55,3338829.0,0.004685,904126.0,0,0.0,,,,,
59328,2023-01-03,INTC,INTEL CORP,26.73,31183562.0,0.011351,4137000.0,0,0.0,,,,,
13407,2023-01-03,META,META PLATFORMS INC,124.74,35491028.0,0.036563,2247000.0,0,0.0,,,,,
21413,2023-01-03,METV,LISTED FUNDS TRUST,7.16,1761763.0,-0.002786,51375.0,0,0.0,,,,,
10107,2023-01-03,MSFT,MICROSOFT CORP,239.58,25723760.0,-0.001001,7447000.0,24,0.49,0.2,0.5,0.25,2.0,0.31666666666666665
53613,2023-01-03,MU,MICRON TECHNOLOGY INC,50.37,12391703.0,0.007803,1091177.0,0,0.0,,,,,
13447,2023-01-03,NOW,SERVICENOW INC,385.5,1088076.0,-0.007134,202400.0,0,0.0,,,,,
86580,2023-01-03,NVDA,NVIDIA CORP,143.14999,40077093.0,-0.02046,2460000.0,6,0.4283333333333333,0.6333333333333333,0.8000000000000002,0.5333333333333333,3.0,0.6555555555555556
10104,2023-01-03,ORCL,ORACLE CORP,83.72,8997534.0,0.024223,2696253.0,0,0.0,,,,,
19788,2023-01-03,PLTR,PALANTIR TECHNOLOGIES INC,6.39,29969947.0,-0.004673,1979274.0,0,0.0,,,,,
77178,2023-01-03,QCOM,QUALCOMM INC,107.2,8094395.0,-0.024923,1119000.0,0,0.0,,,,,
91907,2023-01-03,SMCI,SUPER MICRO COMPUTER INC,83.86,806752.0,0.021437,53400.0,0,0.0,,,,,
19654,2023-01-03,SNOW,SNOWFLAKE INC,135.5,4441952.0,-0.056012,321600.0,0,0.0,,,,,
85442,2023-01-03,TSM,TAIWAN SEMICONDUCTOR MFG CO LTD,74.03,9276191.0,-0.006175,1068051.0,2,0.0,0.0,0.2,0.0,1.0,0.06666666666666667
17987,2023-01-03,VRT,VERTIV HOLDINGS CO,13.3,3458272.0,-0.026354,377296.0,0,0.0,,,,,
85653,2023-01-04,AAIC,ARLINGTON ASSET INVESTMENT CORP,2.96,26879.0,0.00339,28367.0,0,0.0,,,,,
14593,2023-01-04,AAPL,APPLE INC,126.36,89022192.0,0.010314,15842407.0,35,-0.0797142857142857,-0.3,-0.1714285714285714,-0.0142857142857142,7.0,-0.16190476190476186
75510,2023-01-04,ADBE,ADOBE INC,341.41,2177410.0,0.013327,462000.0,3,0.23,-0.9,-0.9,0.05,2.0,-0.5833333333333334
20193,2023-01-04,AI,C3 AI INC,11.34,1356273.0,0.02439,106751.0,1,-0.48,0.5,0.5,0.0,1.0,0.3333333333333333
61241,2023-01-04,AMD,ADVANCED MICRO DEVICES INC,64.66,47441372.0,0.009997,1612000.0,2,0.195,-0.9,-0.9,-0.05,2.0,-0.6166666666666667
84788,2023-01-04,AMZN,AMAZON COM INC,85.14,68762793.0,-0.007924,10242000.0,95,0.2582105263157894,0.0666666666666666,0.1666666666666666,1.8503717077085938e-17,6.0,0.07777777777777774
81472,2023-01-04,ASML,A S M L HOLDING N V,570.83002,1069396.0,0.038685,87861.0,0,0.0,,,,,
93002,2023-01-04,AVGO,BROADCOM INC,560.23999,1695908.0,0.012214,417886.0,2,-0.11,-0.8,-0.8,0.0,2.0,-0.5333333333333333
22623,2023-01-04,CEG,CONSTELLATION ENERGY CORP,83.41,2591433.0,0.018313,327000.0,0,0.0,,,,,
90215,2023-01-04,CRM,SALESFORCE INC,139.59,14322576.0,0.035688,1000000.0,11,-0.2127272727272727,0.2857142857142857,0.3999999999999999,-0.0285714285714285,7.0,0.21904761904761902
18726,2023-01-04,CRWD,CROWDSTRIKE HOLDINGS INC,104.365,3024371.0,0.010505,218282.0,0,0.0,,,,,
18911,2023-01-04,DDOG,DATADOG INC,68.96,5174447.0,-0.043418,293574.0,0,0.0,,,,,
90373,2023-01-04,DLR,DIGITAL REALTY TRUST INC,103.65,2492544.0,0.007974,287522.0,5,-0.264,-0.02,0.08,-0.24,5.0,-0.06
89617,2023-01-04,EQIX,EQUINIX INC,680.15002,428922.0,0.026626,92621.0,2,0.23,-0.8500000000000001,-0.8500000000000001,0.0,2.0,-0.5666666666666668
90319,2023-01-04,GOOGL,ALPHABET INC,88.08,34780293.0,-0.01167,5956000.0,67,0.3464179104477611,0.55,0.55,0.175,4.0,0.42500000000000004
12490,2023-01-04,IBM,INTERNATIONAL BUSINESS MACHS COR,142.60001,3869236.0,0.007418,904126.0,4,0.23,-0.8500000000000001,-0.8500000000000001,0.0,2.0,-0.5666666666666668
59328,2023-01-04,INTC,INTEL CORP,27.68,37387122.0,0.035541,4137000.0,2,0.23,-0.8500000000000001,-0.8500000000000001,0.0,2.0,-0.5666666666666668
13407,2023-01-04,META,META PLATFORMS INC,127.37,32517589.0,0.021084,2247000.0,57,0.1417543859649122,0.1666666666666666,0.2333333333333333,-0.0166666666666666,6.0,0.12777777777777777
21413,2023-01-04,METV,LISTED FUNDS TRUST,7.39,193715.0,0.032123,51375.0,0,0.0,,,,,
10107,2023-01-04,MSFT,MICROSOFT CORP,229.10001,50564994.0,-0.043743,7447000.0,95,-0.0797894736842105,0.025,0.3125,-0.1374999999999999,8.0,0.0666666666666667
53613,2023-01-04,MU,MICRON TECHNOLOGY INC,54.2,24993736.0,0.076037,1091177.0,2,0.23,-0.8500000000000001,-0.8500000000000001,0.0,2.0,-0.5666666666666668
13447,2023-01-04,NOW,SERVICENOW INC,393.85001,1405017.0,0.02166,202400.0,4,-0.0275,-0.2,-0.0499999999999999,0.0,2.0,-0.0833333333333333
86580,2023-01-04,NVDA,NVIDIA CORP,147.49001,43096613.0,0.030318,2460000.0,5,-0.11,-0.95,-0.95,0.0,2.0,-0.6333333333333333
10104,2023-01-04,ORCL,ORACLE CORP,84.48,7836238.0,0.009078,2696253.0,5,0.2299999999999999,-0.95,-0.95,0.0,2.0,-0.6333333333333333
